Feature Name	Type	Description
END_OF_DAY_BAL	Numeric	End of day balance
AVG_BAL_YTD	Numeric	Avg balance year-to-date
TDV	Numeric	Total debit value
AQB	Numeric	Average quarterly balance
HOME_LOAN_AMT	Numeric	Home loan outstanding
TOTAL_PRODUCT	Numeric	Number of products
TOTAL_PRODUCT_EXCL_SERVICES	Numeric	Products excl. services
SAVINGS_BANK	Flag	Savings account flag
FD, HOME_LOAN, ...	Flags	Product flags
ATM, MBS, YONO, ...	Flags	Channel usage
tenure_days	Numeric	Customer tenure in days
product_diversity	Numeric	Number of products held
digital_engagement	Numeric	Digital channel usage count
avg_txn_size	Numeric	Avg debit txn size
balance_consistency	Numeric	Balance stability
tier, CUST_CAT, CUST_CLASS	Categorical	Customer segmentation
